time_s,gyro_x_deg_s,gyro_y_deg_s,gyro_z_deg_s,accel_x_g,accel_y_g,accel_z_g,aux_volts,current_a,accel_mag_g,accel_excess_g,gyro_mag_deg_s,vel_x_m_s,vel_y_m_s,vel_z_m_s,vel_mag_m_s,jerk_excess_g_per_s
52.122,223.2,115.2,-45.8,-0.58,0.52,0.64,0.037,0.0,1.0081666528902848,0.008166652890284842,255.31729279467146,105.70590885600927,32.43478395936416,-84.91439872240795,139.41380666187135,6.694714339971824
52.124,223.5,115.5,-46.8,-0.6,0.5,0.68,0.036,0.0,1.0355674772799695,0.03556747727996945,255.89595541938525,105.72203941492899,32.44129441402465,-84.92853603918394,139.43616258011474,-1.1525822928251719
52.126,223.8,115.6,-47.3,-0.56,0.48,0.67,0.034,0.0,0.9964436762808022,0.0035563237191977848,256.29492776877186,105.73816997384858,32.447804868685076,-84.94267335595987,139.45851851741452,-2.9973792947231273
52.128,224.0,115.7,-48.2,-0.53,0.5,0.65,0.035,0.0,0.9764220398987316,0.023577960101268447,256.68215754118944,105.7543005327683,32.45431532334556,-84.95681067273586,139.48087447376184,11.30848005830443
52.13,224.2,115.9,-48.7,-0.52,0.5,0.62,0.036,0.0,0.9512097560475292,0.04879024395247078,257.0411251142509,105.77043109168801,32.46082577800602,-84.97094798951184,139.50323044914734,24.645946501191876
52.132,224.5,115.9,-49.3,-0.52,0.39,0.59,0.034,0.0,0.8778382538941898,0.12216174610581021,257.41707402579186,105.78656165060767,32.46733623266645,-84.98508530628783,139.52558644356185,4.859312906074937
52.134,224.9,116.0,-49.7,-0.55,0.44,0.61,0.035,0.0,0.9317725044236925,0.06822749557630747,257.8877662860338,105.80269220952738,32.47384668732693,-84.99922262306382,139.54794245699634,-16.98546184944425
52.136,225.0,115.9,-49.9,-0.57,0.4,0.64,0.036,0.0,0.9457801012920498,0.05421989870795019,257.96864150512556,105.81882276844709,32.48035714198739,-85.0133599398398,139.5702984894416,-9.930297718108548
52.138,224.9,115.5,-50.9,-0.62,0.37,0.65,0.036,0.0,0.9714936952960631,0.02850630470393689,257.89740208074994,105.83495332736675,32.48686759664785,-85.02749725661579,139.59265454088847,-5.086546112306749
52.14,225.1,115.3,-51.4,-0.62,0.39,0.63,0.036,0.0,0.9661262857411551,0.03387371425884489,258.0814987557225,105.85108388628646,32.493378051308305,-85.04163457339178,139.6150106113279,-3.373403566710133
52.142,225.3,115.2,-51.7,-0.67,0.43,0.58,0.037,0.0,0.9849873095629201,0.015012690437079868,258.2712140367176,105.86721444520617,32.49988850596876,-85.05577189016776,139.6373667007507,7.6245386210322454
52.144,225.5,115.9,-51.9,-0.64,0.43,0.53,0.037,0.0,0.9356281312572854,0.06437186874271461,258.7985123604848,105.88334500412583,32.50639896062922,-85.06990920694369,139.65972280914772,28.144213926336718
52.146,225.6,116.1,-51.7,-0.61,0.41,0.47,0.036,0.0,0.8724104538575864,0.12758954614241358,258.9352428697183,105.89947556304554,32.51290941528968,-85.08404652371968,139.68207893650998,29.80840469542666
52.148,225.5,116.3,-51.6,-0.5,0.49,0.42,0.037,0.0,0.816394512475433,0.18360548752456696,258.9179406684674,105.9156061219652,32.51941986995016,-85.09818384049572,139.7044350828283,19.9707129536335
52.15,225.6,116.3,-51.8,-0.42,0.49,0.46,0.034,0.0,0.7925276020429824,0.20747239795701755,259.0449574880777,105.93173668088485,32.52593032461059,-85.11232115727165,139.72679124809352,41.57939848732591
52.152,225.6,115.4,-52.0,-0.21,0.44,0.43,0.036,0.0,0.6500769185258003,0.3499230814741997,258.68227616131725,105.94786723980457,32.53244077927105,-85.12645847404764,139.74914743229667,46.43318594790823
