time_s,gyro_x_deg_s,gyro_y_deg_s,gyro_z_deg_s,accel_x_g,accel_y_g,accel_z_g,aux_volts,current_a,accel_mag_g,accel_excess_g,gyro_mag_deg_s,accel_x_m_s2,accel_y_m_s2,accel_z_m_s2,accel_x_m_s2_for_velocity,accel_x_bias_correction_m_s2,accel_z_m_s2_for_velocity,spin_window_flag,vel_x_m_s,vel_y_m_s,vel_z_m_s,vel_mag_m_s,accel_z_raw_m_s2,vel_x_simple_m_s,vel_y_simple_m_s,vel_z_simple_m_s,vel_simple_mag_m_s,jerk_excess_g_per_s
70.372,-222.1,48.3,33.2,-0.61,0.65,0.17,0.034,0.0,0.9074690077352504,0.09253099226474959,229.7031562691292,-5.9820565,6.3743225,-8.139519499999999,-1.386594142439903,-4.595462357560097,-8.139519499999999,False,320.7266714851467,29.71385530049909,-715.5760501924615,784.7277200454972,1.6671305,183.90597071350828,29.71385530049909,-5.5942034925041915,186.37492957372865,-17.254981853512312
70.374,-223.3,47.5,33.6,-0.63,0.69,0.24,0.036,0.0,0.9646761114488116,0.0353238885511884,230.75549830935773,-6.178189499999999,6.766588499999999,-7.453054,-1.5827271424399028,-4.595462357560097,-7.453054,False,320.72370216386184,29.72699621149906,-715.5916427659614,784.741222716087,2.3535959999999996,183.8938104675083,29.72699621149906,-5.590182766004201,186.36490542850518,-15.465164387314553
70.376,-222.9,47.8,33.7,-0.64,0.68,0.26,0.036,0.0,0.9693296652842108,0.03067033471578917,230.44509107377402,-6.276256,6.668522,-7.256920999999999,-1.6807936424399035,-4.595462357560097,-7.256920999999999,False,320.72043864307693,29.740431321999125,-715.6063527409615,784.7538117791131,2.549729,183.88135602200825,29.740431321999125,-5.585279441004178,186.35461275252942,-2.157541490988672
70.378,-223.3,46.5,33.7,-0.68,0.74,0.21,0.035,0.0,1.0266937225872184,0.02669372258721836,230.56632451422738,-6.668522,7.256920999999999,-7.7472535,-2.0730596424399037,-4.595462357560097,-7.7472535,False,320.71668478979205,29.75435676499909,-715.6213569154614,784.7664876398455,2.0593964999999996,183.86841124400829,29.75435676499909,-5.580670315504189,186.3439247227152,1.381156908614038
70.38,-223.4,46.3,33.6,-0.7,0.74,0.19,0.037,0.0,1.0361949623502325,0.03619496235023245,230.6083476372874,-6.864654999999999,7.256920999999999,-7.9433865,-2.2691926424399025,-4.595462357560097,-7.9433865,False,320.7123425375072,29.76887060699906,-715.6370475554614,784.77957169323,1.8632635,183.85487806700831,29.76887060699906,-5.576747655504198,186.33277210588565,7.8426369180662245
70.382,-223.5,45.4,33.3,-0.71,0.77,0.15,0.034,0.0,1.0580642702596095,0.058064270259609474,230.4827542355393,-6.962721499999999,7.5511205,-8.3356525,-2.3672591424399023,-4.595462357560097,-8.3356525,False,320.7077060857223,29.78367864849913,-715.6533265944615,784.7930836356308,1.4709975,183.84105069050824,29.78367864849913,-5.573413394504182,186.32139536213526,21.965049109725143
70.384,-224.7,44.5,32.8,-0.75,0.83,0.11,0.034,0.0,1.124055158788927,0.12405515878892692,231.40047536684102,-7.3549875,8.139519499999999,-8.7279185,-2.7595251424399034,-4.595462357560097,-8.7279185,False,320.7025793014374,29.799369288499093,-715.6703901654615,784.8071445521957,1.0787315,183.8267329815083,29.799369288499093,-5.570863665504188,186.30970101051292,25.839318126554975
70.386,-224.4,44.1,32.6,-0.76,0.87,0.12,0.036,0.0,1.1614215427655885,0.1614215427655885,231.00417745140456,-7.453054,8.5317855,-8.629852,-2.8575916424399033,-4.595462357560097,-8.629852,False,320.69696218465253,29.816040593499054,-715.6877479359615,784.8213111127819,1.1767979999999998,183.8119249400083,29.816040593499054,-5.568608136004193,186.2976903329636,20.658631978957146
70.388,-224.4,43.0,32.2,-0.78,0.91,0.14,0.036,0.0,1.2066896867049126,0.2066896867049126,230.740546935297,-7.6491869999999995,8.9240515,-8.433719,-3.053724642439903,-4.595462357560097,-8.433719,False,320.69105086836765,29.833496430499135,-715.7048115069616,784.8351195190886,1.3729310000000001,183.79682269900823,29.833496430499135,-5.5660584070041805,186.28550815806756,4.570452444092439
70.39,-225.0,42.6,32.2,-0.8,0.86,0.11,0.037,0.0,1.179703352542494,0.17970335254249403,231.25008108106687,-7.84532,8.433719,-8.7279185,-3.2498576424399035,-4.595462357560097,-8.7279185,False,320.68474728608277,29.850854200999095,-715.7219731444616,784.848853907725,1.0787315,183.78132819200826,29.850854200999095,-5.563606744504186,186.27292827610634,-4.340536403232299
