time_s,altitude_agl_ft,altitude_agl_smooth_ft,vertical_velocity_ft_s,horizontal_velocity_ft_s,acceleration_ft_s2,velocity_dr_ft_s,velocity_cr_ft_s,apo_fired,main_fired,descent_rate_ft_s,descent_rate_from_alt_ft_s,descent_rate_from_alt_smoothed_ft_s,altitude_asl_ft,baro_press_atm,inertial_altitude_ft,tilt_angle_deg,future_angle_deg,roll_angle_deg
85.64,17513.1,17504.9785,-238.0,92.28217596047462,175.00000000003456,80.0,-46.0,1,0,238.0,111.70833333325572,121.78768055555595,19465.7,0.4699,26171.0,126.1,0.0,-29430.0
85.66,17489.6,17502.744333333336,-235.0,93.47192091746055,1.064108801074326e-10,84.0,-41.0,1,0,235.0,121.95000000001164,121.7835972222226,19442.3,0.4704,26166.0,127.3,0.0,-29476.0
85.68,17489.6,17500.1005,-238.0,98.6154146165801,-225.0000000000182,91.0,-38.0,1,0,238.0,132.15000000002328,121.79136111111137,19442.3,0.4704,26161.0,128.1,0.0,-29522.0
85.7,17575.4,17497.458333333332,-244.0,104.546640309481,-275.00000000005457,97.0,-39.0,1,0,244.0,128.22500000003492,121.81097222222257,19528.0,0.4687,26157.0,128.3,0.0,-29568.0
85.72,17575.4,17494.9715,-249.0,107.42439201596628,-200.00000000004002,98.0,-44.0,1,0,249.0,124.34166666673264,121.83216666666713,19528.0,0.4687,26152.0,128.1,0.0,-29613.0
85.74,17539.6,17492.484666666664,-252.0,106.00471687618433,-25.000000000085493,94.0,-49.0,1,0,252.0,121.62083333329065,121.85501388888913,19492.3,0.4694,26147.0,128.0,0.0,-29659.0
85.76,17538.6,17490.106666666667,-250.0,102.2154587134451,175.00000000002638,88.0,-52.0,1,0,250.0,118.89999999990687,121.87263194444454,19491.2,0.4694,26142.0,128.5,0.0,-29705.0
85.78,17385.8,17487.728666666666,-245.0,97.75479527879949,250.00000000005002,84.0,-50.0,1,0,245.0,122.07500000006985,121.88473611111161,19338.5,0.4724,26137.0,129.7,0.0,-29751.0
85.8,17385.8,17485.223666666665,-240.0,94.41398201537736,175.00000000003456,83.0,-45.0,1,0,240.0,125.25000000005821,121.87506944444476,19338.5,0.4724,26132.0,131.1,0.0,-29797.0
85.82,17528.4,17482.718666666664,-238.0,95.34149149242423,7.09405867382884e-11,87.0,-39.0,1,0,238.0,121.59999999991851,121.84384722222244,19481.0,0.4696,26127.0,131.9,0.0,-29843.0
85.84,17528.4,17480.359666666667,-240.0,101.39033484509261,-175.00000000002547,94.0,-38.0,1,0,240.0,117.94999999989523,121.84530555555587,19481.0,0.4696,26122.0,131.5,0.0,-29889.0
85.86,17554.9,17478.000666666667,-245.0,105.84894897919393,-275.0000000000555,98.0,-40.0,1,0,245.0,117.57916666666279,121.87944444444467,19507.6,0.4691,26117.0,129.9,0.0,-29935.0
