time_s,altitude_agl_ft,altitude_agl_smooth_ft,descent_rate_from_alt_ft_s,descent_rate_smoothed_ft_s,descent_rate_time_smoothed_ft_s,velocity_up_ft_s,time_plot_descent_rate_ft_s,time_plot_descent_rate_smoothed_ft_s
68.62,19354.7,19390.466336633664,159.20792079210514,151.48920629767713,112.99680787751268,-4.0,159.20792079210514,112.99680787751268
68.64,19354.7,19387.37425742574,155.66831683163764,150.59284207109002,112.7565871341279,-4.0,155.66831683163764,112.7565871341279
68.66,19352.5,19384.2396039604,151.28712871280732,149.5682519071556,112.51379646161807,-4.0,151.28712871280732,112.51379646161807
68.68,19352.5,19381.322772277228,148.5396039604675,148.3444246063925,112.26857111941214,-4.0,148.5396039604675,112.26857111941214
68.7,19354.7,19378.29801980198,148.51485148520442,146.85481253042855,112.02300762863689,-4.0,148.51485148520442,112.02300762863689
68.72,19354.7,19375.38217821782,144.4306930692983,145.0292160363551,111.7818400692578,-5.0,144.4306930692983,111.7818400692578
68.74,19349.2,19372.52079207921,136.83168316824595,142.8940107125453,111.54358058757164,-5.0,136.83168316824595,111.54358058757164
68.76,19349.2,19369.90891089109,134.90099009900587,140.41267651355,111.30532110588548,-5.0,134.90099009900587,111.30532110588548
68.78,19332.9,19367.124752475247,128.6633663366083,137.62497971108237,111.06706162419933,-5.0,128.6633663366083,111.06706162419933
68.8,19332.9,19364.762376237624,118.11881188122788,134.58123681220212,110.82880214251317,-5.0,118.11881188122788,110.82880214251317
68.82,19335.1,19362.399999999998,111.88118811877212,131.3033598441789,110.58763458313408,-5.0,111.88118811877212,110.58763458313408
68.84,19335.1,19360.287128712873,111.28712871274911,127.77795812367847,110.34207109235882,-5.0,111.28712871274911,110.34207109235882
68.86,19331.9,19357.948514851487,105.04950495052617,126.19760726072322,110.0921116701874,-5.0,105.04950495052617,110.0921116701874
68.88,19332.9,19356.085148514852,97.17821782187093,124.58214465514224,109.8401909863156,-5.0,97.17821782187093,109.8401909863156
68.9,19321.0,19354.061386138612,99.28217821777798,123.00827927620186,109.58123681221086,-5.0,99.28217821777798,109.58123681221086
68.92,19321.0,19352.11386138614,102.74752475245623,121.46387007121372,109.3222826381061,-5.0,102.74752475245623,109.3222826381061
68.94,19321.0,19349.951485148515,102.72277227725135,119.90275813295322,109.06332846400134,-5.0,102.72277227725135,109.06332846400134
68.96,19321.0,19348.00495049505,101.88118811883032,118.38838883888252,108.80437428989659,-5.0,101.88118811883032,108.80437428989659
68.98,19315.6,19345.87623762376,104.5544554455555,116.91831683168184,108.54542011579183,-5.0,104.5544554455555,108.54542011579183
69.0,19315.6,19343.822772277228,106.95544554450316,115.41285260601236,108.27983822973457,-5.0,106.95544554450316,108.27983822973457
69.02,19304.7,19341.598019801982,104.23267326725181,113.8647182025866,108.00722285344226,-5.0,104.23267326725181,108.00722285344226
69.04,19304.7,19339.65346534654,98.56435643567238,112.31411376431375,107.73460747714996,-5.0,98.56435643567238,107.73460747714996
69.06,19308.0,19337.655445544555,99.90099009912228,110.6693069306889,107.46199210085766,-4.0,99.90099009912228,107.46199210085766
69.08,19308.0,19335.657425742575,99.90099009906407,109.0078803798723,107.18937672456536,-4.0,99.90099009906407,107.18937672456536
69.1,19293.9,19333.659405940594,99.35643564356724,107.4582301980178,106.91676134827307,-4.0,99.35643564356724,106.91676134827307
69.12,19293.9,19331.68316831683,100.1485148514621,106.027491046974,106.64414597198076,-4.0,100.1485148514621,106.64414597198076
